"","Date","Headline","Description","HeadlineTerms","DescriptionTerms"
"2730","2018-10-24","PM May clear she does not want indefinite post-Brexit transition period -spokesman","British Prime Minister Theresa May has been clear she does not want to enter into an indefinite post-Brexit transition period with the European Union, her spokesman said on Wednesday.","pm, may, clear, want, indefinite, post, brexit, transition, period, spokesman","british, prime, minister, theresa, may, clear, want, enter, indefinite, post, brexit, transition, period, european, union, spokesman, said, wednesday"
"2732","2018-10-24","EU ready to call Brexit summit when 'decisive progress' made - Tusk","European Council President Donald Tusk told the European Parliament on Wednesday that he would be ready to call a special summit on Brexit whenever negotiators said ""decisive progress"" had been made toward a deal.","eu, ready, call, brexit, summit, decisive, progress, made, tusk","european, council, president, donald, tusk, told, european, parliament, wednesday, ready, call, special, summit, brexit, whenever, negotiators, said, decisive, progress, made, toward, deal"
"2733","2018-10-24","Dutch King highlights Brexit uncertainty on visit to Britain","King Willem-Alexander of the Netherlands highlighted the ""shadow of uncertainty"" hanging over Dutch nationals living in Britain due to Brexit in an address to the British parliament on Tuesday during a two-day state visit.","dutch, king, highlights, brexit, uncertainty, visit, britain","king, willem, alexander, netherlands, highlighted, shadow, uncertainty, hanging, dutch, nationals, living, britain, due, brexit, address, british, parliament, tuesday, two, day, state, visit"
"2734","2018-10-24","May to address her MPs on Wednesday after attacks over Brexit","British Prime Minister Theresa May will address her Conservative Party lawmakers at a private meeting in parliament on Wednesday, her spokesman said, as she seeks to calm growing tensions over her Brexit strategy.","may, address, mps, wednesday, attacks, brexit","british, prime, minister, theresa, may, will, address, conservative, party, lawmakers, private, meeting, parliament, wednesday, spokesman, said, seeks, calm, growing, tensions, brexit, strategy"
"2735","2018-10-24","Explainer - How the Brexit deal is shaping up","Even as British Prime Minister Theresa May battles critics in her own party, she may be closing in on a Brexit deal which has been stymied by arguments over the Irish border. Here's how:","explainer, brexit, deal, shaping","even, british, prime, minister, theresa, may, battles, critics, party, may, closing, brexit, deal, stymied, arguments, irish, border, s"
"2736","2018-10-24","May's Brexit transition plan could last for years - London Times","UK Prime Minister Theresa May's Brexit plan could leave Britain in a ""long running"" multiyear transition period, the London Times reported on Wednesday citing leaked documents seen by the newspaper.","may, s, brexit, transition, plan, last, years, london, times","uk, prime, minister, theresa, may, s, brexit, plan, leave, britain, long, running, multiyear, transition, period, london, times, reported, wednesday, citing, leaked, documents, seen, newspaper"
"2737","2018-10-24","'No deal' Brexit would mean costly border disruption - UK spending watchdog","Companies will suffer and criminals could benefit from the inevitable border disruption that will ensue if Britain leaves the European Union without a deal, the country's public spending watchdog said on Wednesday.","deal, brexit, mean, costly, border, disruption, uk, spending, watchdog","companies, will, suffer, criminals, benefit, inevitable, border, disruption, will, ensue, britain, leaves, european, union, without, deal, country, s, public, spending, watchdog, said, wednesday"
"2738","2018-10-23","UK looking at chartering ships to ferry in supplies in no-deal Brexit - FT","Britain is looking at chartering ships to ferry in critical food and medicines in the event of a ""no-deal"" Brexit next March, the Financial Times reported on Tuesday.","uk, looking, chartering, ships, ferry, supplies, deal, brexit, ft","britain, looking, chartering, ships, ferry, critical, food, medicines, event, deal, brexit, next, march, financial, times, reported, tuesday"
"2739","2018-10-23","UK says Northern Ireland can not be in separate customs territory post-Brexit","Britain cannot accept Northern Ireland being in a separate customs territory from the rest of the United Kingdom, Prime Minister Theresa May's spokesman said on Tuesday.","uk, says, northern, ireland, can, separate, customs, territory, post, brexit","britain, accept, northern, ireland, separate, customs, territory, rest, united, kingdom, prime, minister, theresa, may, s, spokesman, said, tuesday"
"2741","2018-10-23","May says confident of getting Brexit deal MPs can support","British Prime Minister Theresa May believes she can get a Brexit deal that will win the support of parliament, her spokesman said on Tuesday, brushing aside questions about a possible leadership challenge.","may, says, confident, getting, brexit, deal, mps, can, support","british, prime, minister, theresa, may, believes, can, get, brexit, deal, will, win, support, parliament, spokesman, said, tuesday, brushing, aside, questions, possible, leadership, challenge"
"2745","2018-10-23","May tries to calm Brexit rebels, says deal almost done","Prime Minister Theresa May urged restive lawmakers to back her in the final stages of Britain's exit from the European Union, saying talks were in their most difficult phase even if a deal was close.","may, tries, calm, brexit, rebels, says, deal, almost, done","prime, minister, theresa, may, urged, restive, lawmakers, back, final, stages, britain, s, exit, european, union, saying, talks, difficult, phase, even, deal, close"
"2747","2018-10-22","UK might need to seek a short extension to Brexit transition - May","British Prime Minister Theresa May said on Monday that London might ask for a short extension of a planned transition period to ease its exit from the European Union.","uk, might, need, seek, short, extension, brexit, transition, may","british, prime, minister, theresa, may, said, monday, london, might, ask, short, extension, planned, transition, period, ease, exit, european, union"
"2748","2018-10-22","EU eyes Brexit customs deal to break Irish deadlock - sources","European Union negotiators are looking at ways to promise Britain a customs deal that could stretch Brussels' Brexit red lines but might break a deadlock over the Irish border, EU sources close to the talks have told Reuters.","eu, eyes, brexit, customs, deal, break, irish, deadlock, sources","european, union, negotiators, looking, ways, promise, britain, customs, deal, stretch, brussels, brexit, red, lines, might, break, deadlock, irish, border, eu, sources, close, talks, told, reuters"
"2749","2018-10-22","UK Brexit minister - parliament will have time to scrutinise EU exit deal","British Brexit minister Dominic Raab said the country's parliament will have enough time to debate any exit deal Prime Minister Theresa May agrees with the European Union, and that lawmakers will have a real say on whether to approve it or not.","uk, brexit, minister, parliament, will, time, scrutinise, eu, exit, deal","british, brexit, minister, dominic, raab, said, country, s, parliament, will, enough, time, debate, exit, deal, prime, minister, theresa, may, agrees, european, union, lawmakers, will, real, say, whether, approve"
